total_en_pageviews.page,total_en_pageviews.total_views
Joe_Biden,2537073
Kamala_Harris,1913062
Amanda_Gorman,1075717
Donald_Trump,1020262
Beau_Biden,842221
Jill_Biden,688471
Doug_Emhoff,614089
President_of_the_United_States,589765
Ashley_Biden,540000
Hunter_Biden,470834
List_of_people_granted_executive_clemency_by_Donald_Trump,459693
Family_of_Joe_Biden,377255
List_of_presidents_of_the_United_States,343280
Richard_Ramirez,299399
Family_of_Kamala_Harris,285958
Number_One_Observatory_Circle,274339
United_States_presidential_inauguration,272149
Lady_Gaga,265522
Garth_Brooks,260628
Mike_Pence,258678
Donald_J._Harris,251393
Inauguration_of_Joe_Biden,244789
Jimmy_Carter,236631
Neilia_Hunter_Biden,236306
Barack_Obama,230708
Shyamala_Gopalan,229294
Lil_Wayne,223321
Kerstin_Emhoff,214124
Melania_Trump,197007
Tomb_of_the_Unknown_Soldier_(Arlington),195161
Steve_Bannon,192899
Maya_Harris,192766
Meena_Harris,174998
George_W._Bush,171656
QAnon,169328
Nancy_Pelosi,168433
Inauguration_of_Donald_Trump,167663
Kwame_Kilpatrick,164347
Bill_Clinton,164062
Dan_Quayle,163336
Joe_Exotic,161859
Vice_President_of_the_United_States,160453
George_H._W._Bush,157960
Rachel_Levine,156781
United_States,145434
Kodak_Black,144180
Jennifer_Lopez,141689
Glioblastoma,136816
President's_Guest_House,135010
Michael_Boulos,134708
Jill_Jacobs,132065
Bible,128735
WandaVision,126886
Mitch_McConnell,125742
Amy_Klobuchar,124057
Mar-a-Lago,120159
Bridgerton,119842
Roy_Blunt,119099
Deaths_in_2021,114618
UFC_on_ESPN:_Chiesa_vs._Magny,114008
Ronald_Reagan,113788
Howard_Krein,110769
Philip_Rivers,104818
Neilia_Hunter,104311
G-Eazy,104247
List_of_presidents_of_the_United_States_by_age,103749
2020_United_States_presidential_election,102955
The_Hill_We_Climb,101957
Tiffany_Trump,101535
XXXX,100202
Cleopatra,97538
BF,96466
Martin_Luther_King_Jr.,94295
1776_Commission,94214
List_of_people_granted_executive_clemency_by_Barack_Obama,93357
Elon_Musk,91285
United_States_Poet_Laureate,91055
Don_Sutton,89586
This_Land_Is_Your_Land,88811
2021_storming_of_the_United_States_Capitol,85789
John_F._Kennedy,85357
Rebecca_Lobo,84873
White_House,83492
National_Youth_Poet_Laureate,83139
United_States_Senate,81809
Karen_Pence,81606
United_States_presidential_line_of_succession,81456
Ivanka_Trump,81133
Microsoft_Office,80795
Living_presidents_of_the_United_States,80346
Al_Gore,78949
Stephanie_Seymour,76969
Franklin_D._Roosevelt,76847
Amazing_Grace,76754
Abraham_Lincoln,75877
Ivana_Trump,75273
List_of_people_pardoned_or_granted_clemency_by_the_president_of_the_United_States,73949
Richard_Nixon,73738
Marla_Maples,72535
Andrew_Johnson,72311
Federal_pardons_in_the_United_States,71091
Keystone_Pipeline,70535
